4280813464,127172 
2160260670,4870462 
1791971580,48843 
1505292618,7111094 
1295042654,3910956 
1143536008,8973553 
1035789199,0531254 
960081583,5227134 
907485421,4057714 
871334745,4661188 
846738804,7306165 
830165614,1623943 
819101061,2365706 
811779264,4368863 
806975156,6376925 
803848640,573159 
801829850,5891509 
800536180,6494637 
799713241,2496572 
799193453,1977786 
798867396,1253092 
798664226,757943 
798538449,3370794 
798461073,6788464 
798413765,5379698 
798385013,7000892 
798367641,3731922 
798357204,415826 
798350968,9202292 
798347263,7871403 
798345073,8871962 
798343786,2851303 
798343033,0632269 
798342594,640694 
798342340,6989013 
798342194,316882 
798342110,3336436 
798342062,3728592 
798342035,1079144 
798342019,6773391 
798342010,9826931 
798342006,1046482 
798342003,3794725 
798342001,863374 
798342001,0233855 
798342000,5598751 
798342000,3051264 
798342000,165664 
798342000,0896103 
798342000,0482938 
798342000,0259324 
798342000,0138757 
798342000,0073984 
798342000,0039309 
798342000,0020813 
798342000,0010984 
798342000,0005773 
798342000,0003023 
798342000,0001578 
798342000,0000818 
798342000,000042 
798342000,0000211 
798342000,0000101 
798342000,000004 
798342000,0000012 
798342000,0000001 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
798342000 
